audio_filepath,image_filepath,🗣️ Transcribed Patient Query,🧠 Doctor's Diagnosis & Advice,output 2,timestamp
,,,,.gradio\flagged\output 2\7424df582a5543b68599\final.mp3,2025-04-14 17:40:13.782259
,,,,.gradio\flagged\output 2\6573d8f9647e82a3d8bb\final.mp3,2025-04-14 17:40:15.648769
